what,kind,bundleId,bundleVersion,description,time
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1495766523130
java.vm.version,sysinfo,,,"20.14-b01",1495766523130
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1495766524224
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495766526135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495766529149
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1495766531191
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495766542183
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495766553277
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1495766808873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495766813132
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495766866446
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1495766866469
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1495766866469
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1495766900081
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1495766901586
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495766906177
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495766912373
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1495766936936
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1495766939084
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495766941994
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495767027910
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1495767028166
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1495767028206
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495767044887
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495767165324
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1495767194817
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495767232008
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495767259881
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495767278155
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495767281358
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1495767285516
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1495767355108
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1495767355141
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1495767355219
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1495767355298
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1495767355459
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1495767355482
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1495767355545
