what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1496211991324
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1496212023553
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1496212029080
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1496212033109
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1496212039372
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1496212044222
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1496212046478
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1496212090746
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1496212093176
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1496212096815
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1496212097528
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1496212099840
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1496212102118
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1496212105359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1496212142885
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1496212149220
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1496212155163
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1496212155980
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1496212158395
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1496212158712
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1496212159684
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1496212161642
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1496212163756
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1496212166531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1496212166665
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1496212171345
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1496212171694
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1496212172443
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1496212174392
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1496212176284
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1496212184671
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1496212185832
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1496212187777
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1496212189712
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1496212194671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1496212194710
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1496212223012
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1496212238266
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1496212243360
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1496212247895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1496212274836
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1496212278634
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1496212281086
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1496212321368
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1496212391972
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1496212407692
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1496212412990
